,serum,virus,replicate,concentration,fraction infectivity
0,M15-day-36,pre-depletion,1,0.04,0.1192
1,M15-day-36,pre-depletion,1,0.01,0.5447
2,M15-day-36,pre-depletion,1,0.0025,0.8404
3,M15-day-36,pre-depletion,1,0.000625,0.9521
4,M15-day-36,pre-depletion,1,0.0001563,0.9324
5,M15-day-36,pre-depletion,1,3.91E-05,1.145
6,M15-day-36,pre-depletion,1,9.77E-06,0.9916
7,M15-day-36,pre-depletion,1,2.44E-06,0.9524
8,M15-day-36,pre-depletion,2,0.04,0.1284
9,M15-day-36,pre-depletion,2,0.01,0.6068
10,M15-day-36,pre-depletion,2,0.0025,0.8888
11,M15-day-36,pre-depletion,2,0.000625,1.016
12,M15-day-36,pre-depletion,2,0.0001563,0.8881
13,M15-day-36,pre-depletion,2,3.91E-05,1.012
14,M15-day-36,pre-depletion,2,9.77E-06,1.008
15,M15-day-36,pre-depletion,2,2.44E-06,0.962
16,M15-day-36,post-depletion,1,0.04,0.7459
17,M15-day-36,post-depletion,1,0.01,0.9484
18,M15-day-36,post-depletion,1,0.0025,1.01
19,M15-day-36,post-depletion,1,0.000625,1.063
20,M15-day-36,post-depletion,1,0.0001563,1.072
21,M15-day-36,post-depletion,1,3.91E-05,1.053
22,M15-day-36,post-depletion,1,9.77E-06,0.9397
23,M15-day-36,post-depletion,1,2.44E-06,1.06
24,M15-day-36,post-depletion,2,0.04,0.7264
25,M15-day-36,post-depletion,2,0.01,0.9587
26,M15-day-36,post-depletion,2,0.0025,1.088
27,M15-day-36,post-depletion,2,0.000625,0.9703
28,M15-day-36,post-depletion,2,0.0001563,1.104
29,M15-day-36,post-depletion,2,3.91E-05,0.9342
30,M15-day-36,post-depletion,2,9.77E-06,0.952
31,M15-day-36,post-depletion,2,2.44E-06,1.128
32,REGN10987,pre-depletion,1,0.04,0.07539
33,REGN10987,pre-depletion,1,0.01,0.1495
34,REGN10987,pre-depletion,1,0.0025,0.3198
35,REGN10987,pre-depletion,1,0.000625,0.7073
36,REGN10987,pre-depletion,1,0.0001563,0.9527
37,REGN10987,pre-depletion,1,3.91E-05,1.082
38,REGN10987,pre-depletion,1,9.77E-06,0.919
39,REGN10987,pre-depletion,1,2.44E-06,1.062
40,REGN10987,pre-depletion,2,0.04,0.07675
41,REGN10987,pre-depletion,2,0.01,0.1493
42,REGN10987,pre-depletion,2,0.0025,0.3433
