,serum,virus,replicate,concentration,fraction infectivity
0,M03-day-119,WT,1,0.04,-6.798e-06
1,M03-day-119,WT,1,0.01333,-6.904e-06
2,M03-day-119,WT,1,0.004444,0.07826
3,M03-day-119,WT,1,0.001481,0.2842
4,M03-day-119,WT,1,0.0004938,0.5982
5,M03-day-119,WT,1,0.0001646,0.7974
6,M03-day-119,WT,1,5.487e-05,0.9575
7,M03-day-119,WT,1,1.829e-05,1.026
8,M03-day-119,WT,2,0.04,-6.798e-06
9,M03-day-119,WT,2,0.01333,0.004015
10,M03-day-119,WT,2,0.004444,0.05302
11,M03-day-119,WT,2,0.001481,0.2166
12,M03-day-119,WT,2,0.0004938,0.523
13,M03-day-119,WT,2,0.0001646,0.7756
14,M03-day-119,WT,2,5.487e-05,0.8687
15,M03-day-119,WT,2,1.829e-05,0.8987
16,M05-day-119,WT,1,0.04,1.7e-06
17,M05-day-119,WT,1,0.01333,-8.63e-06
18,M05-day-119,WT,1,0.004444,0.03974
19,M05-day-119,WT,1,0.001481,0.2252
20,M05-day-119,WT,1,0.0004938,0.533
21,M05-day-119,WT,1,0.0001646,0.8669
22,M05-day-119,WT,1,5.487e-05,0.785
23,M05-day-119,WT,1,1.829e-05,0.9531
24,M05-day-119,WT,2,0.04,-1.02e-05
25,M05-day-119,WT,2,0.01333,0.004564
26,M05-day-119,WT,2,0.004444,0.02752
27,M05-day-119,WT,2,0.001481,0.2316
28,M05-day-119,WT,2,0.0004938,0.6166
29,M05-day-119,WT,2,0.0001646,0.8294
30,M05-day-119,WT,2,5.487e-05,0.7928
31,M05-day-119,WT,2,1.829e-05,0.9298
32,M06-day-119,WT,1,0.04,8.498e-06
33,M06-day-119,WT,1,0.01333,0.00493
34,M06-day-119,WT,1,0.004444,0.07049
35,M06-day-119,WT,1,0.001481,0.3921
36,M06-day-119,WT,1,0.0004938,0.5821
37,M06-day-119,WT,1,0.0001646,0.74
38,M06-day-119,WT,1,5.487e-05,0.8804
39,M06-day-119,WT,1,1.829e-05,1.116
40,M06-day-119,WT,2,0.04,1.7e-06
41,M06-day-119,WT,2,0.01333,0.006169
42,M06-day-119,WT,2,0.004444,0.07893
43,M06-day-119,WT,2,0.001481,0.33
44,M06-day-119,WT,2,0.0004938,0.6228
45,M06-day-119,WT,2,0.0001646,0.7152
46,M06-day-119,WT,2,5.487e-05,0.8071
47,M06-day-119,WT,2,1.829e-05,1.126
48,M11-day-119,WT,1,0.04,-1.19e-05
49,M11-day-119,WT,1,0.01333,-6.904e-06
50,M11-day-119,WT,1,0.004444,0.0121
51,M11-day-119,WT,1,0.001481,0.2776
52,M11-day-119,WT,1,0.0004938,0.437
53,M11-day-119,WT,1,0.0001646,0.9004
54,M11-day-119,WT,1,5.487e-05,0.7427
55,M11-day-119,WT,1,1.829e-05,0.974
56,M11-day-119,WT,2,0.04,-6.798e-06
57,M11-day-119,WT,2,0.01333,0.002378
58,M11-day-119,WT,2,0.004444,0.03627
59,M11-day-119,WT,2,0.001481,0.2293
60,M11-day-119,WT,2,0.0004938,0.5552
61,M11-day-119,WT,2,0.0001646,0.8928
62,M11-day-119,WT,2,5.487e-05,0.8955
63,M11-day-119,WT,2,1.829e-05,1.011
64,M12-day-119,WT,1,0.04,-1.316e-05
65,M12-day-119,WT,1,0.01333,6.345e-06
66,M12-day-119,WT,1,0.004444,0.05171
67,M12-day-119,WT,1,0.001481,0.1759
68,M12-day-119,WT,1,0.0004938,0.565
69,M12-day-119,WT,1,0.0001646,0.6919
70,M12-day-119,WT,1,5.487e-05,0.9072
71,M12-day-119,WT,1,1.829e-05,1.047
72,M12-day-119,WT,2,0.04,-6.022e-06
73,M12-day-119,WT,2,0.01333,1.094e-06
74,M12-day-119,WT,2,0.004444,0.02747
75,M12-day-119,WT,2,0.001481,0.1717
76,M12-day-119,WT,2,0.0004938,0.5354
77,M12-day-119,WT,2,0.0001646,0.8159
78,M12-day-119,WT,2,5.487e-05,0.9443
79,M12-day-119,WT,2,1.829e-05,1.105
80,M14-day-119,WT,1,0.04,-7.806e-06
81,M14-day-119,WT,1,0.01333,-5.907e-06
82,M14-day-119,WT,1,0.004444,0.003866
83,M14-day-119,WT,1,0.001481,0.08929
84,M14-day-119,WT,1,0.0004938,0.4957
85,M14-day-119,WT,1,0.0001646,0.5879
86,M14-day-119,WT,1,5.487e-05,0.8634
87,M14-day-119,WT,1,1.829e-05,0.9303
88,M14-day-119,WT,2,0.04,-6.691e-07
89,M14-day-119,WT,2,0.01333,-7.657e-06
90,M14-day-119,WT,2,0.004444,0.004321
91,M14-day-119,WT,2,0.001481,0.1203
92,M14-day-119,WT,2,0.0004938,0.4375
93,M14-day-119,WT,2,0.0001646,0.842
94,M14-day-119,WT,2,5.487e-05,0.8609
95,M14-day-119,WT,2,1.829e-05,1.096
96,23_d120,WT,1,0.04,4.683e-06
97,23_d120,WT,1,0.01333,0.01146
98,23_d120,WT,1,0.004444,0.05363
99,23_d120,WT,1,0.001481,0.3864
